Name,Type,Latitude,Longitude
신보라매회관,음식점,37.4932342,126.9197115
신보라매회관,음식점,37.4932342,126.9197115
LP음악카페쎄시봉,음식점,37.4967987,126.9812192
오리촌,음식점,37.4887223,126.9813449
남성집,음식점,37.4879317,126.98193
안정식당,음식점,37.4883322,126.9811376
아르테스 웨딩홀,음식점,37.4819683,126.981475
만리장성,음식점,37.512672,126.9382535
곱창스토브(stove),음식점,37.5084691,126.9625405
2달러(2DOLLARS),음식점,37.5080707,126.9613969
실내포장마차,음식점,37.5121008,126.9510704
추억의 통치킨,음식점,37.4847197,126.9791287
목화,음식점,37.4983425,126.9289533
펀비어킹,음식점,37.498726,126.9277162
짱구슈퍼(사당점),음식점,37.4782645,126.9802726
명일칼국수,음식점,37.4961222,126.9242661
맘스터치,음식점,37.5125101,126.9432101
